doi	script	error
doi:10.7910/DVN/GF65E4	DHSProcess.R	Error in setwd(file.path("/Data/")): cannot change working directory
doi:10.7910/DVN/GF65E4	MICSProcess.R	Error in setwd(file.path("/Data/")): cannot change working directory
doi:10.7910/DVN/ECBF7Y	replicationscript.r	Error in setwd("~/Desktop/HoldingPen/TeXFiles"): cannot change working directory
doi:10.7910/DVN/UPMOHW	02.Figure5.R	Error in setwd(paste(dir, "/Data", sep = "")): cannot change working directory
doi:10.7910/DVN/UPMOHW	03.Figure6.R	Error in setwd(paste(dir, "/Data", sep = "")): cannot change working directory
doi:10.7910/DVN/NZIVED	clustering_yaws_active.R	Error in setwd(dir = "./SaTScan_Files/"): cannot change working directory
doi:10.7910/DVN/NZIVED	clustering_yaws_passive.R	Error in setwd(dir = "./SaTScan_Files/"): cannot change working directory
doi:10.7910/DVN/EAXI4K	2015_08_26_WP1_Imputation.r	Error in setwd("~/WP1"): cannot change working directory
doi:10.7910/DVN/JIYDQT	2main-analysis.r	Error in setwd(homedir): cannot change working directory
doi:10.7910/DVN/JIYDQT	3fit-regressions.r	Error in setwd(homedir): cannot change working directory
doi:10.7910/DVN/AHBXWA	finalcodeISQ.r	Error in setwd("INSERT WORKING DIRECTORY HERE"): cannot change working directory
doi:10.7910/DVN/X1TGCJ	Hartman%26Morse2017.r	Error in setwd(""): cannot change working directory
doi:10.7910/DVN/ETAKWM	II_Joo_Mukherjee_onlineappendix.R	Error in setwd("Your Directory/Joo_Mukherjee_Replication"): cannot change working directory
doi:10.7910/DVN/ETAKWM	II_Joo_Mukherjee.R	Error in setwd("Your Directory/Joo_Mukherjee_Replication"): cannot change working directory
doi:10.7910/DVN/KDJD27	clanalysis_replication_vAug27.r	Error in setwd("C:/FOLDER LOCATION WHERE DATA FILE IS SAVED GOES HERE/..."): cannot change working directory
doi:10.7910/DVN/STRA2P	ltbi_model_review_descriptive%20stats.r	Error in setwd("/Users/nicolasmenzie/Google Drive/Harvard/CDC Large Grant/Reactiveation rate review"): cannot change working directory
doi:10.7910/DVN/PBEOJZ	PSRM_Master_Replication.R	Error in setwd(paste(YOURPATH, "PSRM_Replication/", sep = "")): cannot change working directory
doi:10.7910/DVN/PYWNTB	Chart%20Replication.r	Error in setwd("..."): cannot change working directory
doi:10.7910/DVN/BX8N8S	replication.r	Error in setwd("replication"): cannot change working directory
doi:10.7910/DVN/BX8N8S	secondAnalysis.r	Error in setwd("replication"): cannot change working directory
doi:10.7910/DVN/27KBWG	01.table1.r	Error in setwd("DIRECTORY TO WHICH YOU UNZIPPED ARCHIVE/ISQ-Replication"): cannot change working directory
doi:10.7910/DVN/27KBWG	02.figure5.r	Error in setwd("DIRECTORY TO WHICH YOU UNZIPPED ARCHIVE/ISQ-Replication"): cannot change working directory
doi:10.7910/DVN/96AJMC	Analysis150421.R	Error in setwd(home.dir <- "~/Dropbox/Shared/Work/Honor/Replication-Final"): cannot change working directory
doi:10.7910/DVN/96AJMC	Figures150610-AD.R	Error in setwd(home.dir <- "/Users/Allan/Dropbox/1Papers/1Reputation/Honor-Culture-War/2012-05/Replication-Final"): cannot change working directory
doi:10.7910/DVN/96AJMC	Figures150707.R	Error in setwd(home.dir <- "~/Dropbox/2-Shared/Work/Collaborations/Dafoe/Honor/Replication-Final"): cannot change working directory
doi:10.7910/DVN/96AJMC	pValuePlot150707.R	Error in setwd(paste0(rep.dir, "/4-Analysis/save")): cannot change working directory
doi:10.7910/DVN/S3HACJ	main_agg.R	Error in setwd(paste0(main.dir, "/data/aggregate/")): cannot change working directory
doi:10.7910/DVN/S3HACJ	main_ind.R	Error in setwd(paste0(main.dir, "/data/survey/")): cannot change working directory
doi:10.7910/DVN/S3HACJ	main_survey.R	Error in setwd(paste0(main.dir, "/data/survey/")): cannot change working directory
doi:10.7910/DVN/S3HACJ	maps.R	Error in setwd(paste0(main.dir, "/data/maps")): cannot change working directory
doi:10.7910/DVN/OAG09I	laws_code.R	Error in setwd(dir = "C:/"): cannot change working directory
doi:10.7910/DVN/N9XP0Y	FamilyProject_replication_2019-10-23.R	Error in setwd("C:/Dropbox/Research/pill/PillUptakeReplication"): cannot change working directory
doi:10.7910/DVN/QOL1UK	script_paper.r	Error in setwd("C:/Users/test/Documents/GitHub/analisedados_trabalho"): cannot change working directory
doi:10.7910/DVN/URSNLH	DonnellyPopElechesReplication.R	Error in setwd(paste(replpath, "/ReplicationData", sep = "")): cannot change working directory
doi:10.7910/DVN/HHMXU3	tablesFigures.r	Error in setwd("~/Dropbox/Sovereign bond rates/data/replication"): cannot change working directory
doi:10.7910/DVN/O7BPYZ	appendix.r	Error in setwd("~/Dropbox/UK_Employment/replication"): cannot change working directory
doi:10.7910/DVN/EAYHSN	code-for-replication-chilBill.r	Error in setwd(datdir): cannot change working directory
doi:10.7910/DVN/WG8VCK	fig1.r	Error in setwd(""): cannot change working directory
doi:10.7910/DVN/J6SEGJ	anes.r	Error in setwd("/Users/feiyasuo/Documents/RA/racial/final"): cannot change working directory
doi:10.7910/DVN/J6SEGJ	MRP.r	Error in setwd("/Users/feiyasuo/Documents/RA/racial/final"): cannot change working directory
doi:10.7910/DVN/H11ITR	Vuong_R_Replication.r	Error in setwd("###The directory for all the replicaateion files on your computer###"): cannot change working directory
doi:10.7910/DVN/OYIAYK	figure1.R	Error in setwd(paste(location, "data/datasets", sep = "")): cannot change working directory
doi:10.7910/DVN/OYIAYK	figure3.R	Error in setwd(paste(location, "data/datasets", sep = "")): cannot change working directory
doi:10.7910/DVN/OYIAYK	table2.R	Error in setwd(paste(location, "data/datasets", sep = "")): cannot change working directory
doi:10.7910/DVN/OYIAYK	table3.R	Error in setwd(paste(location, "data/datasets", sep = "")): cannot change working directory
doi:10.7910/DVN/OYIAYK	table4.R	Error in setwd(paste(location, "data/datasets", sep = "")): cannot change working directory
doi:10.7910/DVN/OYIAYK	tableA1A2A3%20and%20figureA2.R	Error in setwd(paste(location, "data/datasets", sep = "")): cannot change working directory
doi:10.7910/DVN/OYIAYK	tableA7toA12.R	Error in setwd(paste(location, "data/datasets", sep = "")): cannot change working directory
doi:10.7910/DVN/4NUU2J	4_figures.R	Error in setwd("..."): cannot change working directory
doi:10.7910/DVN/29080	Giger_Kluever_Replication_Figures.r	Error in setwd("C:/Users/ba9ze3-1/Dropbox/Dokumente/Papers/Schweiz IG MP Paper/Final Submission/Giger_Kluever_Replication"): cannot change working directory
doi:10.7910/DVN/SNKACY	aca_bounds.R	Error in setwd(paste0("***")): cannot change working directory
doi:10.7910/DVN/O1PMGO	baccini_match.r	Error in setwd("C:/Documents and Settings/James/Desktop/My Dropbox/Collaboration with Peter"): cannot change working directory
doi:10.7910/DVN/O1PMGO	baccini_matchACLP.r	Error in setwd("c:/documents and settings/james/desktop/my dropbox/ptas/baccinidata"): cannot change working directory
doi:10.7910/DVN/DJR0YC	analysis_all.R	Error in setwd(file.path(replication.path, "/BMMCP2020_Replication/")): cannot change working directory
doi:10.7910/DVN/SUPM3R	run_all_setup.r	Error in setwd("~/Dropbox/CBEVComparativeReplication/scripts"): cannot change working directory
doi:10.7910/DVN/3VQXIM	ANES2000.r	Error in setwd("c:/"): cannot change working directory
doi:10.7910/DVN/3VQXIM	CCES2016.r	Error in setwd("c:/"): cannot change working directory
doi:10.7910/DVN/XBBOHV	create_procfirmall.R	Error in setwd(paste(curcomp, "covariates/", sep = "")): cannot change working directory
doi:10.7910/DVN/MUPGQM	eurobarometer.r	Error in setwd("~/Dropbox/heyTim/UKKeynesians/UKKeynesiansReplication/scripts"): cannot change working directory
doi:10.7910/DVN/5DKLVI	Njunge_EN_Glmnet_bootValidation.r	Error in setwd(""): cannot change working directory
doi:10.7910/DVN/EEARKA	figures.R	Error in setwd(paste0("C:/Users/", Sys.getenv("USERNAME"), "/Dropbox/GrahamSvolik/")): cannot change working directory
doi:10.7910/DVN/EEARKA	in%20text.R	Error in setwd(paste0("C:/Users/", Sys.getenv("USERNAME"), "/Dropbox/GrahamSvolik/")): cannot change working directory
doi:10.7910/DVN/EEARKA	montana.R	Error in setwd(paste0("C:/Users/", Sys.getenv("USERNAME"), "/Dropbox/GrahamSvolik/")): cannot change working directory
doi:10.7910/DVN/EEARKA	structural.R	Error in setwd(paste0("C:/Users/", Sys.getenv("USERNAME"), "/Dropbox/GrahamSvolik/")): cannot change working directory
doi:10.7910/DVN/LPLJCL	tcg_table2.r	Error in setwd(dd): cannot change working directory
doi:10.7910/DVN/LPLJCL	tcg_table3.r	Error in setwd(dd): cannot change working directory
doi:10.7910/DVN/UI7OFK	R%20script%20for%20replication.r	Error in setwd("E://PAPERS/ONGOING/Legislative Politics and Congruence (GOVLIS)/"): cannot change working directory
doi:10.7910/DVN/YSS19O	Clark_Dolan_Replication.r	Error in setwd("ENTER DIRECTORY"): cannot change working directory
doi:10.7910/DVN/Z1REHB	map.R	Error in setwd(paste(data_location, "/New York City/", sep = "")): cannot change working directory
doi:10.7910/DVN/26HDEO	Enemies_Replication_Code_rev.r	Error in setwd(): argument "dir" is missing, with no default
doi:10.7910/DVN/IGZJ2J	MakeMap.r	Error in setwd("/media/mauricio/TeraHDD2/Dropbox/Learning Lab/XageT"): cannot change working directory
doi:10.7910/DVN/27864	replication%20tab1%20tab3.r	Error in setwd("Y:/Democratic Governance/Projekte/Papiere/Manifesto Analysis in Context/00_Paper/Political Science Research and Methods/09_Replication Material/replication data/data"): cannot change working directory
doi:10.7910/DVN/2DLCPZ	IFoT_replication-1.R	Error in setwd(paste(curcomp, "/paper", sep = "")): cannot change working directory
doi:10.7910/DVN/2DLCPZ	IFoT_replication.R	Error in setwd(paste(curcomp, "/paper", sep = "")): cannot change working directory
doi:10.7910/DVN/ETNFCY	new_evidence_code%202015-12-0569.R2.r	Error in setwd(""): cannot change working directory
